Well,Sample.Name,Target Name,Amp Score,Amp Status,Task,Cq,Cq Mean,Cq Standard Deviation,Quantity,Quantity Mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit,Tm1
E10,22,ACTIN,1.481,Amp,UNKNOWN,16.543,16.464,0.112,386252.3,407015.97,29364.275,36.5667,0.9988,-3.584,90.11565,TRUE,0.15,TRUE,3,12,FALSE,79.00489807
F10,22,ACTIN,1.466,Amp,UNKNOWN,16.384,16.464,0.112,427779.66,407015.97,29364.275,36.5667,0.9988,-3.584,90.11565,TRUE,0.15,TRUE,3,11,FALSE,79.00489807
C7,23,ACTIN,1.423,Amp,UNKNOWN,34.758,34.758,-,3.196,3.196,-,36.5667,0.9988,-3.584,90.11565,TRUE,0.14,TRUE,3,30,FALSE,79.14990997
D7,23,ACTIN,0,No Amp,UNKNOWN,Undetermined,-,-,0,0,-,36.5667,0.9988,-3.584,90.11565,TRUE,0.14,TRUE,3,39,TRUE,73.32758331
E5,24,ACTIN,1.428,Amp,UNKNOWN,16.927,17.027,0.14,301799.06,283728.03,25556.316,36.5667,0.9988,-3.584,90.11565,TRUE,0.15,TRUE,3,12,FALSE,79.04972076
F5,24,ACTIN,1.406,Amp,UNKNOWN,17.126,17.027,0.14,265656.97,283728.03,25556.316,36.5667,0.9988,-3.584,90.11565,TRUE,0.15,TRUE,3,12,FALSE,79.04972076
E3,25,ACTIN,1.393,Amp,UNKNOWN,16.757,16.863,0.151,336754.4,315224.84,30447.367,36.5667,0.9988,-3.584,90.11565,TRUE,0.159,TRUE,3,11,FALSE,79.1114502
F3,25,ACTIN,1.39,Amp,UNKNOWN,16.97,16.863,0.151,293695.3,315224.84,30447.367,36.5667,0.9988,-3.584,90.11565,TRUE,0.159,TRUE,3,12,FALSE,79.16136169
E1,26,ACTIN,1.447,Amp,UNKNOWN,17.226,17.528,0.427,249133.19,209090.72,56628.6,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,12,FALSE,79.26281738
F1,26,ACTIN,1.442,Amp,UNKNOWN,17.83,17.528,0.427,169048.25,209090.72,56628.6,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,12,FALSE,79.41260529
E2,27,ACTIN,1.442,Amp,UNKNOWN,16.723,17.346,0.881,344083.84,249341.1,133986.48,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,11,FALSE,79.01318359
F2,27,ACTIN,1.452,Amp,UNKNOWN,17.969,17.346,0.881,154598.36,249341.1,133986.48,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,12,FALSE,79.31275177
E3,28,ACTIN,1.432,Amp,UNKNOWN,16.996,17.584,0.832,288734.78,212166.95,108283.27,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,12,FALSE,78.96154785
F3,28,ACTIN,1.443,Amp,UNKNOWN,18.173,17.584,0.832,135599.12,212166.95,108283.27,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,13,FALSE,79.26116943
E4,29,ACTIN,1.467,Amp,UNKNOWN,16.692,17.48,1.114,350967.62,239278.53,157952.22,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,11,FALSE,78.86167145
F4,29,ACTIN,1.466,Amp,UNKNOWN,18.267,17.48,1.114,127589.45,239278.53,157952.22,36.5667,0.9988,-3.584,90.11565,TRUE,0.213,TRUE,3,12,FALSE,79.26116943
